Date,close price
10-6-2018,15.5
11-6-2018,15.2
12-6-2018,15
13-6-2018,15
14-6-2018,15
19-6-2018,15
20-6-2018,15
21-6-2018,15
24-6-2018,15
25-6-2018,14.53
26-6-2018,14.91
27-6-2018,15
28-6-2018,15
1-7-2018,14.9
2-7-2018,14.9
3-7-2018,14.8
4-7-2018,14.8
5-7-2018,14.95
8-7-2018,14.99
9-7-2018,14.57
10-7-2018,14.88
11-7-2018,14.88
12-7-2018,14.99
15-7-2018,15.05
16-7-2018,15.05
17-7-2018,14.6
18-7-2018,15.08
19-7-2018,14.65
22-7-2018,14.65
23-7-2018,14.65
24-7-2018,14.65
25-7-2018,14.65
26-7-2018,14.71
29-7-2018,14.71
30-7-2018,14.98
31-7-2018,15.7
1-8-2018,15.55
2-8-2018,15.78
5-8-2018,15.6
6-8-2018,15.6
7-8-2018,15.5
8-8-2018,15.5
9-8-2018,15.78
12-8-2018,15.8
13-8-2018,15.5
14-8-2018,15.7
15-8-2018,15.7
16-8-2018,15.59
19-8-2018,15.4
26-8-2018,15.5
27-8-2018,15.5
28-8-2018,15.41
29-8-2018,15.4
30-8-2018,15.65
2-9-2018,15.65
3-9-2018,15.5
4-9-2018,15.5
5-9-2018,15.6
6-9-2018,16.25
9-9-2018,16.1
10-9-2018,16.1
12-9-2018,16.5
13-9-2018,16.8
16-9-2018,16.25
17-9-2018,17
18-9-2018,16.7
19-9-2018,16.97
20-9-2018,16.85
23-9-2018,16.98
24-9-2018,16.95
25-9-2018,16.99
26-9-2018,16.95
27-9-2018,16.94
30-9-2018,16.7
1-10-2018,16.94
2-10-2018,16.94
3-10-2018,16.9
4-10-2018,16.9
7-10-2018,16.87
8-10-2018,16.8
9-10-2018,16.8
10-10-2018,16.9
11-10-2018,16.9
14-10-2018,16.9
15-10-2018,16.73
16-10-2018,16.73
17-10-2018,16.7
18-10-2018,17.3
21-10-2018,17.43
22-10-2018,17.47
23-10-2018,17.9
24-10-2018,17.5
25-10-2018,17.4
28-10-2018,17.4
29-10-2018,17.5
30-10-2018,17.3
31-10-2018,17.7
1-11-2018,17.7
4-11-2018,17.7
5-11-2018,17.7
6-11-2018,17.7
7-11-2018,17.7
8-11-2018,17.7
11-11-2018,17.7
12-11-2018,17
13-11-2018,16.9
14-11-2018,16.89
15-11-2018,16.78
18-11-2018,16.65
19-11-2018,16.55
21-11-2018,16.55
22-11-2018,16.5
25-11-2018,16.5
26-11-2018,16.5
27-11-2018,16.5
28-11-2018,16.5
29-11-2018,15.8
2-12-2018,15.65
3-12-2018,15.65
4-12-2018,16
5-12-2018,16
6-12-2018,16
9-12-2018,15.51
10-12-2018,15.51
11-12-2018,15.5
12-12-2018,15.01
13-12-2018,15.01
16-12-2018,15.01
17-12-2018,15.01
18-12-2018,16.05
19-12-2018,17.2
20-12-2018,17
23-12-2018,17
24-12-2018,16.06
26-12-2018,15.42
27-12-2018,15.42
30-12-2018,15.42
31-12-2018,16.02
2-1-2019,16.02
3-1-2019,15.5
6-1-2019,16.22
7-1-2019,16.22
8-1-2019,16.5
9-1-2019,16.01
10-1-2019,16.5
13-1-2019,16.6
14-1-2019,17
15-1-2019,16.99
16-1-2019,16.95
20-1-2019,17
21-1-2019,17.25
22-1-2019,17.3
23-1-2019,17.3
24-1-2019,17.25
27-1-2019,17.35
28-1-2019,17.55
29-1-2019,17.55
30-1-2019,17.5
31-1-2019,17.5
3-2-2019,17.5
4-2-2019,17.5
5-2-2019,17.5
6-2-2019,17.5
7-2-2019,17.5
10-2-2019,17.5
11-2-2019,17.5
12-2-2019,17.65
13-2-2019,17.5
14-2-2019,17.4
17-2-2019,17.1
18-2-2019,17.35
19-2-2019,17.35
20-2-2019,17.5
21-2-2019,17.6
24-2-2019,17.64
25-2-2019,17.66
26-2-2019,17.66
27-2-2019,17.66
28-2-2019,17.66
3-3-2019,17.66
4-3-2019,17.6
5-3-2019,17.6
6-3-2019,17.6
7-3-2019,17.5
10-3-2019,17.2
11-3-2019,17.2
12-3-2019,17.49
13-3-2019,17.49
14-3-2019,17.27
17-3-2019,17.3
18-3-2019,17.5
19-3-2019,17.3
20-3-2019,17.3
21-3-2019,17.5
24-3-2019,17.4
25-3-2019,17.16
26-3-2019,17.3
27-3-2019,17.3
28-3-2019,17.3
31-3-2019,17.58
1-4-2019,17.58
2-4-2019,17.5
3-4-2019,17.5
4-4-2019,17.5
7-4-2019,17.5
8-4-2019,17.5
9-4-2019,17.5
10-4-2019,17.5
11-4-2019,17.49
14-4-2019,17.49
15-4-2019,17.35
16-4-2019,17.35
17-4-2019,17.4
18-4-2019,17.35
21-4-2019,17.35
